lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline,event_name,category,p_moderate,p_strong,p_severe,p_extreme,season
-5.1458511,35.72916,83,11976,11984,11991,16,2014-10-15,2014-10-23,2014-10-30,1.6953,2.4556,0.3258,27.1246,0.4389,1.2054,0.3129,7.0218,20.425,21.13,0.5074,326.8,0.2338,0.1942,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,84,12016,12022,12024,9,2014-11-24,2014-11-30,2014-12-02,1.0884,1.1906,0.0727,9.7953,0.1454,0.2564,0.0772,1.3084,18.14,18.28,0.1042,163.26,0.0338,0.1069,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,85,12183,12188,12188,6,2015-05-10,2015-05-15,2015-05-15,1.2341,1.4917,0.1793,7.4046,0.2243,0.4504,0.1733,1.3459,18.4417,18.84,0.2369,110.65,0.0735,0.5515,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,86,12222,12278,12281,60,2015-06-18,2015-08-13,2015-08-16,2.8733,11.7483,1.5221,172.3996,1.6858,10.5271,1.5314,101.1496,24.1042,33.87,1.9811,1446.25,0.1855,2.9655,Event 2015a,IV Extreme,40,25,32,2,Winter
-5.1458511,35.72916,87,12347,12348,12351,5,2015-10-21,2015-10-22,2015-10-25,1.5273,2.1363,0.3606,7.6367,0.2761,0.8663,0.351,1.3806,20.204,20.88,0.4114,101.02,0.6182,0.3153,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,88,12360,12363,12383,24,2015-11-03,2015-11-06,2015-11-26,1.6582,2.5492,0.4593,39.7974,0.6273,1.4649,0.4475,15.0556,19.2462,20.5,0.6155,461.91,0.4687,0.0788,Event 2015b,II Strong,71,25,0,0,Spring
-5.1458511,35.72916,89,12405,12406,12409,5,2015-12-18,2015-12-19,2015-12-22,1.0984,1.6041,0.2898,5.4922,0.2327,0.7393,0.2904,1.1637,17.532,18.06,0.3066,87.66,0.6149,0.2105,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,90,12449,12451,12453,5,2016-01-31,2016-02-02,2016-02-04,1.0337,1.1986,0.1388,5.1686,0.2282,0.3925,0.1388,1.1408,16.416,16.58,0.135,82.08,0.1598,0.2024,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,91,12460,12461,12465,6,2016-02-11,2016-02-12,2016-02-16,0.976,1.0489,0.0708,5.8562,0.1728,0.2451,0.0705,1.0366,16.2517,16.33,0.0752,97.51,0.1457,0.1076,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,92,12649,12649,12676,28,2016-08-18,2016-08-18,2016-09-14,1.9939,2.6705,0.4365,55.8292,0.7898,1.4372,0.4452,22.1134,23.8475,24.8,0.4793,667.73,1.7814,0.0531,Event 2016,II Strong,75,21,0,0,Winter
